target_id,reference_price,normal_price_min,normal_price_max,accepted_count,rejected_count,review_reasons
aesthetic-extra-8fd3fcd3f04b80c0,1400,1400,1400,1,0,风格方案人工核实
aesthetic-extra-919fc23967556665,165,165,165,1,0,风格方案人工核实
aesthetic-extra-93a83dace3dc1aa4,3000,3000,3000,1,0,风格方案人工核实
aesthetic-extra-9444cd20abc27e80,1465,1465,1465,1,0,风格方案人工核实
aesthetic-extra-9448249c6d9e6ff1,120,120,120,1,0,风格方案人工核实
aesthetic-extra-967d18535748fe50,50,50,50,1,0,风格方案人工核实
aesthetic-extra-96997df978aa198,886,886,886,1,0,风格方案人工核实
aesthetic-extra-9736a9554372dba6,499,499,499,1,0,风格方案人工核实
aesthetic-extra-9d5461514dec846b,600,600,600,1,0,风格方案人工核实
aesthetic-extra-a28695c036cb72a2,1465,1465,1465,1,0,风格方案人工核实
aesthetic-extra-a6d8c14f5e2f405a,89,89,89,1,0,风格方案人工核实
aesthetic-extra-ab69d8952ce8b088,200,200,200,1,0,风格方案人工核实
aesthetic-extra-ac296dbad4730e76,89,89,89,1,0,风格方案人工核实
aesthetic-extra-aeff343403037583,1339,1339,1339,1,0,风格方案人工核实
aesthetic-extra-b368384f6b58b258,796,796,796,1,0,风格方案人工核实
aesthetic-extra-b62d789ae1020ecd,499,499,499,1,0,风格方案人工核实
aesthetic-extra-b9451dad6c1c1a2e,1400,1400,1400,1,0,风格方案人工核实
aesthetic-extra-bb7cbdde8919183,686,686,686,1,0,风格方案人工核实
aesthetic-extra-bbe079c7a2ad45d,1099,1099,1099,1,0,风格方案人工核实
aesthetic-extra-bdfcd0310e36b9bf,1085,1085,1085,1,0,风格方案人工核实
aesthetic-extra-c15e6c164aab63d5,597,597,597,1,0,风格方案人工核实
aesthetic-extra-c1a7fbe7705e4f9d,3000,3000,3000,1,0,风格方案人工核实
aesthetic-extra-cef0018b74508c7a,886,886,886,1,0,风格方案人工核实
aesthetic-extra-cfe91e7323cfd96d,59,59,59,1,0,风格方案人工核实
aesthetic-extra-d04019a4c101bba0,69,69,69,1,0,风格方案人工核实
aesthetic-extra-d19fedd0ca27b02e,1690,1690,1690,1,0,风格方案人工核实
aesthetic-extra-d231f582002c317b,399,399,399,1,0,风格方案人工核实
aesthetic-extra-d3ab7e57810e95c,90,90,90,1,0,风格方案人工核实
aesthetic-extra-dbfe5ff9b725e678,89,89,89,1,0,风格方案人工核实
aesthetic-extra-dc236e4b1ef4611f,1099,1099,1099,1,0,风格方案人工核实
aesthetic-extra-e5158879d5149c54,340,340,340,1,0,风格方案人工核实
aesthetic-extra-e7495764906c121c,119,119,119,1,0,风格方案人工核实
aesthetic-extra-e9e96dbcf0b7c5f5,79,79,79,1,0,风格方案人工核实
aesthetic-extra-f075919d062914bc,700,700,700,1,0,风格方案人工核实
aesthetic-extra-f0bdd9dd0fb46fec,1400,1400,1400,1,0,风格方案人工核实
aesthetic-extra-f2c5c6b4e2643d0f,499,499,499,1,0,风格方案人工核实
aesthetic-extra-f727ca3fd8b1cf54,1832,1832,1832,1,0,风格方案人工核实
aesthetic-extra-f746f3147b2685e,1400,1400,1400,1,0,风格方案人工核实
